area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms,price_per_sqft
Built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,GrrvaGr,3000.0,3.0,3.0,400.0,3.0,0.13333333333333333
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,86.91,3.0,0.052198198198198195
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,4000.0,5.0,2.0,600.0,4.0,0.15
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,GrrvaGr,1100.0,2.0,0.0,68.0,2.0,0.06181818181818182
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350.0,2.0,1.0,87.01,3.0,0.06445185185185186
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Salisal,1719.0,3.0,2.0,116.0,3.0,0.06748109365910412
Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664.0,1.0,1.0,35.0,1.0,0.05271084337349398
Super built-up  Area,18-Dec,Sonnenahalli,2 BHK,Skacak ,1011.0,2.0,1.0,50.53,2.0,0.04998021760633037
Built-up  Area,Ready To Move,Akshya Nagar,6 Bedroom,GrrvaGr,2400.0,6.0,0.0,130.0,6.0,0.05416666666666667
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,GrrvaGr,1680.0,3.0,2.0,85.0,3.0,0.050595238095238096
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,VSlistr,717.0,2.0,0.0,49.475,2.0,0.06900278940027894
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,GrrvaGr,700.0,4.0,2.0,110.0,4.0,0.15714285714285714
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Skstark,1520.0,2.0,2.0,150.0,3.0,0.09868421052631579
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Vancya ,1350.0,2.0,2.0,53.0,3.0,0.03925925925925926
Super built-up  Area,15-Nov,Kothanur,3 BHK,Somumys,1760.0,3.0,2.0,150.0,3.0,0.08522727272727272
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,875.0,2.0,1.0,33.0,2.0,0.037714285714285714
Super built-up  Area,Ready To Move,Hennur,2 BHK,Adity T,1231.0,2.0,2.0,48.0,2.0,0.03899268887083672
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Abeesmi,1174.0,2.0,3.0,74.0,2.0,0.06303236797274275
Built-up  Area,Ready To Move,Munnekollal,3 BHK,DaniaNe,1560.0,3.0,3.0,75.0,3.0,0.04807692307692308
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2 BHK,GrrvaGr,1464.0,2.0,2.0,56.0,2.0,0.03825136612021858
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,GrrvaGr,2200.0,3.0,2.0,130.0,3.0,0.05909090909090909
Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,GrrvaGr,850.0,2.0,2.0,55.0,2.0,0.06470588235294118
Built-up  Area,Ready To Move,Sahyadri Layout,3 BHK,Adthm R,1750.0,3.0,1.0,180.0,3.0,0.10285714285714286
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,NCaveun,2024.0,3.0,2.0,157.0,3.0,0.0775691699604743
Plot  Area,Ready To Move,Mathikere SBM colony,2 Bedroom,GrrvaGr,1500.0,1.0,0.0,160.0,2.0,0.10666666666666667
Plot  Area,Ready To Move,"white field,kadugodi",6 Bedroom,GrrvaGr,2100.0,6.0,2.0,275.0,6.0,0.13095238095238096
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2408.0,4.0,2.0,260.0,3.0,0.1079734219269103
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080.0,2.0,1.0,44.0,2.0,0.040740740740740744
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,GrrvaGr,2070.0,3.0,2.0,225.0,3.0,0.10869565217391304
Built-up  Area,18-Dec,Electronic City,2 BHK,GrrvaGr,1020.0,2.0,1.0,29.46,2.0,0.02888235294117647
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500.0,2.0,3.0,55.0,3.0,0.03666666666666667
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,GrrvaGr,1575.0,5.0,1.0,158.0,4.0,0.10031746031746032
Plot  Area,Ready To Move,Kodichikkanahalli,4 Bedroom,GrrvaGr,3250.0,4.0,1.0,180.0,4.0,0.055384615384615386
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1175.0,2.0,1.0,47.0,2.0,0.04
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1030.0,2.0,1.0,34.5,2.0,0.03349514563106796
Super built-up  Area,18-Jul,Hebbal,2 BHK,Mahosya,1440.0,2.0,1.0,115.0,2.0,0.0798611111111111
Built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1500.0,2.0,1.0,84.0,2.0,0.056
Plot  Area,Ready To Move,Thanisandra,1 Bedroom,GrrvaGr,1380.0,1.0,1.0,62.1,1.0,0.045
Built-up  Area,Ready To Move,Bagalur,2 BHK,Haows M,1200.0,2.0,3.0,50.0,2.0,0.041666666666666664
Built-up  Area,Ready To Move,Vinayak Nagar,1 BHK,GrrvaGr,705.0,1.0,2.0,36.5,1.0,0.05177304964539007
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,2240.0,5.0,2.0,155.0,3.0,0.06919642857142858
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1584.01,3.0,1.0,103.0,3.0,0.06502484201488627
Super built-up  Area,Ready To Move,P Krishnappa Layout,3 BHK,Apitea ,1340.0,3.0,3.0,77.0,3.0,0.057462686567164176
Super built-up  Area,Ready To Move,Green Garden Layout,3 BHK,Mas 2 H,1800.0,3.0,2.0,70.0,3.0,0.03888888888888889
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,GrrvaGr,1200.0,2.0,3.0,45.0,2.0,0.0375
Super built-up  Area,18-Nov,Sarjapur  Road,1 BHK,AsastDe,685.0,1.0,1.0,40.0,1.0,0.058394160583941604
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925.0,2.0,3.0,42.0,2.0,0.04540540540540541
Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,ARntyne,1230.0,2.0,2.0,57.0,2.0,0.046341463414634146
Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,GrrvaGr,1200.0,5.0,1.0,185.0,5.0,0.15416666666666667
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Aaubyya,1125.0,2.0,1.0,52.0,2.0,0.04622222222222222
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrrvaGr,1100.0,2.0,1.0,54.0,2.0,0.04909090909090909
Plot  Area,18-Aug,Jigani,3 Bedroom,Prllasw,2400.0,3.0,2.0,149.0,3.0,0.06208333333333333
Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1400.0,2.0,2.0,41.58,3.0,0.029699999999999997
Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,GrrvaGr,1200.0,7.0,2.0,225.0,7.0,0.1875
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Ceezey ,1858.0,3.0,1.0,98.3,3.0,0.052906350914962326
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,GrrvaGr,1260.0,1.0,1.0,41.0,1.0,0.03253968253968254
Built-up  Area,Ready To Move,Ambedkar Nagar,4 BHK,SoechHa,3530.0,4.0,2.0,290.0,4.0,0.0821529745042493
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrrvaGr,1185.0,2.0,2.0,60.0,2.0,0.05063291139240506
Plot  Area,Ready To Move,RMV 2nd Stage,2 Bedroom,GrrvaGr,1200.0,2.0,1.0,216.0,2.0,0.18
Super built-up  Area,Ready To Move,Hennur,2 BHK,GrrvaGr,1255.0,2.0,1.0,58.0,2.0,0.046215139442231074
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,GrrvaGr,3436.0,6.0,3.0,475.0,4.0,0.13824214202561116
Built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1335.0,3.0,2.0,89.0,3.0,0.06666666666666667
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,GrrvaGr,1999.0,3.0,2.0,132.0,3.0,0.06603301650825413
Plot  Area,Ready To Move,Kanaka Nagar,2 Bedroom,GrrvaGr,1200.0,2.0,1.0,125.0,2.0,0.10416666666666667
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1397.0,3.0,2.0,110.0,3.0,0.07874015748031496
Plot  Area,Ready To Move,Jigani,10 Bedroom,Mae 2ra,1200.0,10.0,2.0,105.0,10.0,0.0875
Super built-up  Area,Ready To Move,Cooke Town,4 BHK,GrrvaGr,3950.0,4.0,2.0,450.0,4.0,0.11392405063291139
Plot  Area,Ready To Move,Yelahanka New Town,2 Bedroom,KHatsFl,1200.0,2.0,1.0,130.0,2.0,0.10833333333333334
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,GrrvaGr,1616.0,3.0,0.0,95.0,3.0,0.058787128712871284
Built-up  Area,Ready To Move,Hanumantha Nagar,4 Bedroom,GrrvaGr,1270.0,2.0,1.0,175.0,4.0,0.1377952755905512
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140.0,2.0,2.0,38.55,2.0,0.03381578947368421
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,30.0,1.0,0.05714285714285714
Plot  Area,Ready To Move,Varthur,3 Bedroom,GrrvaGr,1200.0,2.0,1.0,98.0,3.0,0.08166666666666667
Built-up  Area,Ready To Move,Bagalakunte,1 Bedroom,GrrvaGr,700.0,1.0,1.0,162.0,1.0,0.23142857142857143
Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1205.47,2.0,1.0,81.0,2.0,0.06719370867794304
Plot  Area,Ready To Move,T Dasarahalli,3 Bedroom,GrrvaGr,1200.0,3.0,2.0,130.0,3.0,0.10833333333333334
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Naireru,1700.0,3.0,2.0,75.0,3.0,0.04411764705882353
Plot  Area,Ready To Move,Thanisandra,5 Bedroom,GrrvaGr,750.0,4.0,0.0,62.0,5.0,0.08266666666666667
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1090.0,2.0,1.0,54.54,2.0,0.05003669724770642
Super built-up  Area,Ready To Move,Yeshwanthpur,4 BHK,IBityin,3600.0,5.0,2.0,220.0,4.0,0.06111111111111111
Super built-up  Area,19-Mar,Thanisandra,1 BHK,Bhe 2ko,923.0,1.0,1.0,60.84,1.0,0.06591549295774649
Super built-up  Area,18-May,Muthurayya Swamy Layout,4 BHK,MacleK ,3595.0,6.0,2.0,360.0,4.0,0.10013908205841446
Super built-up  Area,Ready To Move,Green Glen Layout,2 BHK,GaentAp,1050.0,2.0,2.0,48.0,2.0,0.045714285714285714
Super built-up  Area,Ready To Move,Whitefield,2 BHK,UKe 2nz,1495.0,2.0,2.0,79.5,2.0,0.053177257525083614
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1664.0,2.0,2.0,93.865,3.0,0.05640925480769231
Built-up  Area,Ready To Move,Narayanapura,3 BHK,GrrvaGr,1485.0,3.0,2.0,85.0,3.0,0.05723905723905724
Super built-up  Area,19-Dec,Dommasandra,3 BHK,GrrvaGr,1033.0,2.0,2.0,31.5,3.0,0.03049370764762827
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1400.0,2.0,1.0,48.0,3.0,0.03428571428571429
Built-up  Area,Ready To Move,Indira Nagar,1 Bedroom,GrrvaGr,500.0,1.0,0.0,70.0,1.0,0.14
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ascid P,944.0,2.0,1.0,35.0,2.0,0.037076271186440676
Built-up  Area,Ready To Move,Whitefield,5 Bedroom,GrrvaGr,3250.0,5.0,0.0,290.0,5.0,0.08923076923076922
Super built-up  Area,19-Mar,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,66.48,2.0,0.054671052631578954
Super built-up  Area,Ready To Move,Thirumenahalli,2 BHK,GrrvaGr,1100.0,2.0,1.0,39.5,2.0,0.03590909090909091
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1743.0,3.0,2.0,93.25,3.0,0.05349971313826735
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1274.0,2.0,2.0,48.42,2.0,0.03800627943485087
Super built-up  Area,Ready To Move,Lavelle Road,3 BHK,GrrvaGr,2500.0,3.0,2.0,425.0,3.0,0.17
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,SaodySa,1512.0,2.0,2.0,110.0,3.0,0.07275132275132275
Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,GrrvaGr,3100.0,5.0,1.0,385.0,4.0,0.12419354838709677
Super built-up  Area,Ready To Move,Cox Town,3 BHK,GrrvaGr,1650.0,3.0,3.0,100.0,3.0,0.06060606060606061
Built-up  Area,Ready To Move,Doddathoguru,3 BHK,SryleHo,1875.0,3.0,1.0,55.0,3.0,0.029333333333333333
Built-up  Area,Ready To Move,Whitefield,3 BHK,GrrvaGr,1350.0,3.0,2.0,54.0,3.0,0.04
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,GrrvaGr,1219.0,2.0,2.0,40.0,2.0,0.03281378178835111
Plot  Area,Ready To Move,Goraguntepalya,4 Bedroom,GrrvaGr,1200.0,4.0,1.0,150.0,4.0,0.125
Plot  Area,Ready To Move,Sarjapura - Attibele Road,3 Bedroom,GrrvaGr,2400.0,3.0,3.0,85.0,3.0,0.035416666666666666
Super built-up  Area,Ready To Move,Hormavu,2 BHK,GrrvaGr,1141.0,2.0,1.0,44.4,2.0,0.03891323400525854
Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1151.0,2.0,1.0,43.1,2.0,0.03744569939183319
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,832.0,3.0,1.0,77.0,3.0,0.09254807692307693
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,915.0,2.0,1.0,38.0,2.0,0.041530054644808745
Plot  Area,Ready To Move,Rajankunte,3 Bedroom,GrrvaGr,3259.0,3.0,0.0,270.0,3.0,0.08284749923289353
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1115.0,2.0,1.0,65.12,2.0,0.05840358744394619
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,139.0,3.0,0.06708494208494209
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,MCngeha,1200.0,2.0,2.0,53.0,2.0,0.04416666666666667
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Phhidx ,1300.0,2.0,2.0,65.0,2.0,0.05
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Amivace,1457.0,2.0,2.0,85.0,2.0,0.05833905284831846
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,Marnaer,1262.0,2.0,2.0,55.0,2.0,0.043581616481774964
Plot  Area,Ready To Move,BEML Layout,4 Bedroom,GrrvaGr,1196.0,3.0,1.0,150.0,4.0,0.1254180602006689
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,420.0,1.0,1.0,17.0,1.0,0.04047619047619048
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,GrrvaGr,1160.0,2.0,1.0,46.39,2.0,0.03999137931034483
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,GrrvaGr,1115.0,2.0,2.0,50.0,2.0,0.04484304932735426
Built-up  Area,Ready To Move,JP Nagar,3 BHK,GrrvaGr,1315.0,2.0,1.0,85.4,3.0,0.06494296577946769
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,GrrvaGr,1500.0,2.0,2.0,57.0,2.0,0.038
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1127.0,2.0,1.0,68.0,2.0,0.06033717834960071
Super built-up  Area,18-Feb,Kundalahalli,3 BHK,Dieldli,1397.0,3.0,2.0,104.0,3.0,0.0744452397995705
Built-up  Area,20-Dec,Whitefield,2 BHK,GrrvaGr,1173.0,2.0,1.0,60.0,2.0,0.05115089514066496
Super built-up  Area,Ready To Move,Sompura,2 BHK,GrrvaGr,1090.0,2.0,2.0,28.0,2.0,0.025688073394495414
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,2720.0,5.0,2.0,210.0,3.0,0.07720588235294118
Super built-up  Area,18-May,Jakkur,2 BHK,BrdgeNo,1230.0,2.0,1.0,76.0,2.0,0.061788617886178863
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4 BHK,GrrvaGr,3200.0,3.0,3.0,190.0,4.0,0.059375
Super built-up  Area,19-Dec,Sarjapur  Road,2 BHK,Daivon ,858.0,2.0,1.0,31.57,2.0,0.03679487179487179
Super built-up  Area,21-Mar,Talaghattapura,3 BHK,Sodgere,1868.0,3.0,1.0,121.0,3.0,0.06477516059957174
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1689.28,3.0,2.0,91.2,3.0,0.0539874976321273
Built-up  Area,Ready To Move,Vishwapriya Layout,4 BHK,GrrvaGr,600.0,3.0,2.0,73.0,4.0,0.12166666666666667
Super built-up  Area,Ready To Move,Banashankari,3 BHK,GrrvaGr,1425.0,3.0,3.0,49.88,3.0,0.03500350877192983
Plot  Area,Ready To Move,Subramanyapura,6 Bedroom,GrrvaGr,1200.0,6.0,2.0,170.0,6.0,0.14166666666666666
Plot  Area,Ready To Move,Tindlu,2 Bedroom,GrrvaGr,1350.0,2.0,1.0,100.0,2.0,0.07407407407407407
Built-up  Area,Ready To Move,Channasandra,6 Bedroom,GrrvaGr,4200.0,6.0,0.0,180.0,6.0,0.04285714285714286
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ihnueut,1310.0,2.0,1.0,85.0,3.0,0.0648854961832061
Super built-up  Area,18-Jun,Haralur Road,4 BHK,SNnia E,3185.0,2.0,2.0,175.0,4.0,0.054945054945054944
Super built-up  Area,Ready To Move,MLA Layout,2 BHK,GrrvaGr,970.0,2.0,1.0,40.0,2.0,0.041237113402061855
Super built-up  Area,18-May,Kundalahalli,3 BHK,Dieldli,1397.0,3.0,3.0,108.0,3.0,0.07730851825340014
Super built-up  Area,18-Jul,Sarjapur,2 BHK,Vehes L,1157.0,2.0,1.0,40.0,2.0,0.03457216940363008
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,GrrvaGr,1125.0,2.0,1.0,61.2,2.0,0.054400000000000004
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,DSgam S,1157.0,2.0,1.0,42.0,2.0,0.036300777873811585
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,BModsen,1241.0,2.0,1.0,82.0,2.0,0.06607574536663981
Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660.0,1.0,1.0,62.0,1.0,0.09393939393939393
Built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000.0,4.0,3.0,220.0,4.0,0.055
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340.0,4.0,1.0,148.0,4.0,0.06324786324786325
Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,596.0,1.0,1.0,42.0,1.0,0.07046979865771812
Super built-up  Area,Ready To Move,Koramangala Industrial Layout,16 BHK,GrrvaGr,10000.0,16.0,2.0,550.0,16.0,0.055
Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,UpowsMe,1200.0,4.0,3.0,110.0,4.0,0.09166666666666666
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1910.0,3.0,1.0,190.0,3.0,0.09947643979057591
Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1139.0,2.0,2.0,80.0,2.0,0.07023705004389816
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,5.0,2.0,225.0,4.0,0.0720691864189622
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,GrrvaGr,1033.0,2.0,2.0,28.41,2.0,0.02750242013552759
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1168.0,2.0,2.0,64.08,2.0,0.054863013698630135
Super built-up  Area,Ready To Move,Chandapura,2 BHK,GrrvaGr,877.0,2.0,3.0,42.0,2.0,0.04789053591790194
Built-up  Area,18-Jul,Electronics City Phase 1,2 BHK,Shitt S,1340.0,2.0,2.0,75.0,2.0,0.055970149253731345
Built-up  Area,Ready To Move,B Narayanapura,3 BHK,ShentAp,1405.0,2.0,2.0,70.0,3.0,0.0498220640569395
Super built-up  Area,Ready To Move,Siddapura,3 BHK,GrrvaGr,1800.0,3.0,3.0,65.0,3.0,0.03611111111111111
Built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1750.0,3.0,3.0,149.0,3.0,0.08514285714285715
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360.0,2.0,1.0,65.0,3.0,0.04779411764705882
Plot  Area,Ready To Move,Malleshwaram,3 Bedroom,GrrvaGr,675.0,2.0,0.0,148.0,3.0,0.21925925925925926
Super built-up  Area,19-Jun,Byrasandra,2 BHK,Sancy R,985.0,2.0,1.0,63.0,2.0,0.06395939086294417
Super built-up  Area,16-Jul,Victoria Layout,2 BHK,GrrvaGr,1300.0,2.0,1.0,129.0,2.0,0.09923076923076923
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,2.0,150.0,3.0,0.08108108108108109
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Srowsee,1490.0,2.0,3.0,88.0,3.0,0.05906040268456376
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620.0,1.0,1.0,25.0,2.0,0.04032258064516129
Super built-up  Area,19-Aug,Hormavu,2 BHK,GrrvaGr,1130.0,2.0,1.0,42.3,2.0,0.037433628318584065
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,BaiseBa,1080.0,2.0,2.0,55.0,2.0,0.05092592592592592
Built-up  Area,Ready To Move,Singasandra,4 BHK,GrrvaGr,3126.0,4.0,2.0,120.0,4.0,0.03838771593090211
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410.0,2.0,3.0,52.17,3.0,0.037
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,GrrvaGr,1375.0,3.0,2.0,59.0,3.0,0.04290909090909091
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1290.0,2.0,1.0,94.5,3.0,0.07325581395348837
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1318.0,2.0,1.0,85.28,3.0,0.0647040971168437
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,68.0,2.0,0.06028368794326241
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4428.0,4.0,2.0,255.0,4.0,0.05758807588075881
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1051.0,2.0,2.0,56.74,2.0,0.05398667935299715
Plot  Area,Ready To Move,Kengeri,3 Bedroom,GrrvaGr,3500.0,5.0,0.0,275.0,3.0,0.07857142857142857
Plot  Area,Ready To Move,Kannamangala,4 Bedroom,MIalerd,2400.0,4.0,1.0,130.0,4.0,0.05416666666666667
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327.0,2.0,3.0,85.0,2.0,0.0640542577241899
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,2912.0,6.0,2.0,210.0,4.0,0.07211538461538461
Super built-up  Area,Ready To Move,Basapura,2 BHK,Jaangm ,1301.0,2.0,2.0,55.0,2.0,0.042275172943889314
Super built-up  Area,Ready To Move,Thippasandra,1 BHK,GrrvaGr,650.0,1.0,0.0,30.0,1.0,0.046153846153846156
Plot  Area,18-Jul,Varthur,3 Bedroom,GrrvaGr,1200.0,3.0,1.0,67.75,3.0,0.05645833333333333
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,GrrvaGr,1500.0,2.0,2.0,89.99,3.0,0.05999333333333333
Plot  Area,Ready To Move,Nagadevanahalli,4 Bedroom,GrrvaGr,1350.0,4.0,2.0,145.0,4.0,0.10740740740740741
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000.0,2.0,1.0,28.88,2.0,0.02888
Super built-up  Area,19-Nov,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,45.91,2.0,0.04665650406504065
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,1.0,160.0,3.0,0.08795171450873471
Built-up  Area,Ready To Move,Nagarbhavi,1 Bedroom,GrrvaGr,900.0,1.0,0.0,175.0,1.0,0.19444444444444445
Super built-up  Area,18-Apr,Hebbal,3 BHK,Magiaya,1355.0,3.0,1.0,83.87,3.0,0.06189667896678967
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2145.0,4.0,1.0,270.0,3.0,0.1258741258741259
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475.0,4.0,3.0,300.0,3.0,0.12121212121212122
Super built-up  Area,18-Aug,Kaggadasapura,2 BHK,GrrvaGr,1118.0,2.0,0.0,30.0,2.0,0.026833631484794274
Super built-up  Area,Ready To Move,Roopena Agrahara,1 BHK,GrrvaGr,910.0,1.0,1.0,42.0,1.0,0.046153846153846156
Super built-up  Area,18-May,Madiwala,3 BHK,GrrvaGr,1250.0,3.0,2.0,39.0,3.0,0.0312
Super built-up  Area,18-Mar,Hosakerehalli,2 BHK,SoageHe,1304.0,2.0,3.0,100.0,2.0,0.07668711656441718
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615.0,3.0,2.0,58.0,3.0,0.03591331269349845
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1400.0,2.0,2.0,68.0,2.0,0.04857142857142857
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Villeka,1070.0,2.0,2.0,47.5,2.0,0.04439252336448598
Super built-up  Area,17-Nov,Hebbal,3 BHK,Emceske,3500.0,3.0,3.0,395.0,3.0,0.11285714285714285
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132.0,2.0,1.0,89.37,2.0,0.0789487632508834
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3 BHK,GrrvaGr,2000.0,3.0,2.0,85.0,3.0,0.0425
Plot  Area,Ready To Move,Hebbal,7 Bedroom,GrrvaGr,2400.0,5.0,1.0,550.0,7.0,0.22916666666666666
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,DShtsow,794.0,1.0,2.0,65.0,1.0,0.0818639798488665
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1090.0,2.0,2.0,43.59,2.0,0.0399908256880734
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500.0,3.0,2.0,70.0,3.0,0.04666666666666667
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2059.0,3.0,2.0,225.0,3.0,0.10927634774162215
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,30.0,1.0,0.05714285714285714
Super built-up  Area,18-May,Bhoganhalli,2 BHK,Rosha I,1447.0,2.0,1.0,75.97,2.0,0.05250172771250864
